1|06/30/2020|A|11101000004113100001009321200||||||11000|00004|11310000|093212|06/30/2021|N|||||
1|06/30/2020|A|11101000004113100001009321300||||||11000|00004|11310000|093213|06/30/2021|N|||||
1|06/30/2020|A|11101000004113100001010199900||||||11000|00004|11310000|101999|06/30/2021|N|||||
1|06/30/2020|A|11101000004113100001010324100||||||11000|00004|11310000|103241|06/30/2021|N|||||
1|06/30/2020|A|11101000004113100001013050000||||||11000|00004|11310000|130500|06/30/2021|N|||||
1|06/30/2020|A|11101000004113100001018020500||||||11000|00004|11310000|180205|06/30/2021|N|||||
1|06/30/2020|A|11101000004113100003300150000||||||11000|00005|11310000|001500|06/30/2021|N|||||
1|06/30/2020|A|11101000004113100003300180000||||||11000|00005|11310000|001800|06/30/2021|N|||||
1|06/30/2020|A|11101000004113100003300180100||||||11000|00005|11310000|001801|06/30/2021|N|||||
1|06/30/2020|A|11101000004113100003301000000||||||11000|00005|11310000|010000|06/30/2021|Y|||||
1|06/30/2020|A|11101000004113100003303000000||||||11000|00005|11310000|030000|06/30/2021|Y|||||
1|06/30/2020|A|11101000004113100003304000000||||||11000|00005|11310000|040000|06/30/2021|N|||||
1|06/30/2020|A|11101000004113100003306000000||||||11000|00005|11310000|060000|06/30/2021|N|||||
1|06/30/2020|A|11101000004113100003309321200||||||11000|00005|11310000|093212|06/30/2021|N|||||
1|06/30/2020|A|11101000004113100003309321300||||||11000|00005|11310000|093213|06/30/2021|N|||||
1|06/30/2020|A|11101000004113100003313050000||||||11000|00005|11310000|130500|06/30/2021|N|||||
1|06/30/2020|A|11101000004113100003400150000||||||11000|00006|11310000|001500|06/30/2021|N|||||
1|06/30/2020|A|11101000004113100003400180000||||||11000|00006|11310000|001800|06/30/2021|N|||||
1|06/30/2020|A|11101000004113100003400180100||||||11000|00006|11310000|001801|06/30/2021|N|||||
1|06/30/2020|A|11101000004113100003401000000||||||11000|00006|11310000|010000|06/30/2021|Y|||||
1|06/30/2020|A|11101000004113100003403000000||||||11000|00006|11310000|030000|06/30/2021|Y|||||
1|06/30/2020|A|11101000004113100003404000000||||||11000|00006|11310000|040000|06/30/2021|N|||||
1|06/30/2020|A|11101000004113100003406000000||||||11000|00006|11310000|060000|06/30/2021|N|||||
1|06/30/2020|A|11101000004113100003409321200||||||11000|00006|11310000|093212|06/30/2021|N|||||
1|06/30/2020|A|11101000004113100003409321300||||||11000|00006|11310000|093213|06/30/2021|N|||||
1|06/30/2020|A|11101000004113100003413050000||||||11000|00006|11310000|130500|06/30/2021|N|||||
1|06/30/2020|A|11101000004113100003800150000||||||11000|00007|11310000|001500|06/30/2021|N|||||
1|06/30/2020|A|11101000004113100003800180000||||||11000|00007|11310000|001800|06/30/2021|N|||||
